Name,ParentFolder,LastFolder,PathDepth,Type,FullName,Value,AppliedTo
$pv_Bendora_env_release_thresholds,$ICON_storages,$ICON_storages.Bendora,3,Pattern Variable,$ICON_storages.Bendora.pv_Bendora_env_release_thresholds,{23,NA
$pv_Bendora_flush_pattern,$ICON_storages,$ICON_storages.Bendora,3,Pattern Variable,$ICON_storages.Bendora.pv_Bendora_flush_pattern,{0,NA
$mv_Bendora_resin1,$ICON_storages,$ICON_storages.Bendora,3,Modelled Variable,$ICON_storages.Bendora.mv_Bendora_resin1,UMB_HW_Inflow_Stockyard_ck_above_Bendora_340001/Downstream Flow\Downstream Flow,NA
$mv_Bendora_csv,$ICON_storages,$ICON_storages.Bendora,3,Modelled Variable,$ICON_storages.Bendora.mv_Bendora_csv,UMB_Bendora_Dam/Storage Volume\Storage Volume,NA
$mv_Bendora_dsv,$ICON_storages,$ICON_storages.Bendora,3,Modelled Variable,$ICON_storages.Bendora.mv_Bendora_dsv,UMB_Bendora_Dam/Dead Storage Volume\Dead Storage Volume,NA
$mv_bendora_fsv,$ICON_storages,$ICON_storages.Bendora,3,Modelled Variable,$ICON_storages.Bendora.mv_bendora_fsv,UMB_Bendora_Dam/Full Supply Volume\Full Supply Volume,NA
$mv_Bendora_resin3,$ICON_storages,$ICON_storages.Bendora,3,Modelled Variable,$ICON_storages.Bendora.mv_Bendora_resin3,UMB_Ung_Inflow_Bendora_Dam/Inflow\Inflow,NA
$mv_Bendora_resin2,$ICON_storages,$ICON_storages.Bendora,3,Modelled Variable,$ICON_storages.Bendora.mv_Bendora_resin2,UMB_Ung_Inflow_Corin_Dam_to_Stockyard_Ck_340000/Inflow\Inflow,NA
$pv_Cotter_flush_pattern,$ICON_storages,$ICON_storages.Cotter,3,Pattern Variable,$ICON_storages.Cotter.pv_Cotter_flush_pattern,{0,NA
$mv_Cotter_csv,$ICON_storages,$ICON_storages.Cotter,3,Modelled Variable,$ICON_storages.Cotter.mv_Cotter_csv,UMB_Cotter_Dam/Storage Volume\Storage Volume,NA
$mv_Cotter_dsv,$ICON_storages,$ICON_storages.Cotter,3,Modelled Variable,$ICON_storages.Cotter.mv_Cotter_dsv,UMB_Cotter_Dam/Dead Storage Volume\Dead Storage Volume,NA
$mv_Cotter_fsv,$ICON_storages,$ICON_storages.Cotter,3,Modelled Variable,$ICON_storages.Cotter.mv_Cotter_fsv,UMB_Cotter_Dam/Full Supply Volume\Full Supply Volume,NA
$pv_Googong_fush_pattern,$ICON_storages,$ICON_storages.Googong,3,Pattern Variable,$ICON_storages.Googong.pv_Googong_fush_pattern,{0,NA
$mv_Googong_csv,$ICON_storages,$ICON_storages.Googong,3,Modelled Variable,$ICON_storages.Googong.mv_Googong_csv,UMB_Googong_Dam/Storage Volume\Storage Volume,NA
$mv_Googong_dsv,$ICON_storages,$ICON_storages.Googong,3,Modelled Variable,$ICON_storages.Googong.mv_Googong_dsv,UMB_Googong_Dam/Dead Storage Volume\Dead Storage Volume,NA
$mv_Googong_fsv,$ICON_storages,$ICON_storages.Googong,3,Modelled Variable,$ICON_storages.Googong.mv_Googong_fsv,UMB_Googong_Dam/Full Supply Volume\Full Supply Volume,NA
$pv_Murrumbidgee_cotter_protected_flow,$ICON_supply,$ICON_supply.Murrumbidgee,3,Pattern Variable,$ICON_supply.Murrumbidgee.pv_Murrumbidgee_cotter_protected_flow,{76,NA
$pv_Murrumbidgee_angle_protected_flow,$ICON_supply,$ICON_supply.Murrumbidgee,3,Pattern Variable,$ICON_supply.Murrumbidgee.pv_Murrumbidgee_angle_protected_flow,{33,NA
$mv_Murrumbidgee_us_angle,$ICON_supply,$ICON_supply.Murrumbidgee,3,Modelled Variable,$ICON_supply.Murrumbidgee.mv_Murrumbidgee_us_angle,UMB_Murrumbidgee_US_Angle_Crossing/Downstream Flow\Downstream Flow,NA
$pv_Googong_ACT_Env_Release,$ICON_storages,$ICON_storages.Googong.ACT_Env_Guidelines,4,Pattern Variable,$ICON_storages.Googong.ACT_Env_Guidelines.pv_Googong_ACT_Env_Release,{10,NA
$mv_Murrumbidgee_below_Cotter,$ICON_supply,$ICON_supply.Murrumbidgee,3,Modelled Variable,$ICON_supply.Murrumbidgee.mv_Murrumbidgee_below_Cotter,UMB_Murrumbidgee_US_Stromlo/Downstream Flow\Downstream Flow,NA
$ts_LMWQCC_baseline_outflow,$ACT_AnnualTake,$ACT_AnnualTake.Return_flows,3,TimeSeriesVariable,$ACT_AnnualTake.Return_flows.ts_LMWQCC_baseline_outflow,LMWQCC_Quickflow.ACT_AnnualTake_LMWQCC_Baseline_Quickflow_Outflow_res_csv.Dummy_Sewer_Catchment_Outflow,NA
$mv_Bendora_extraction,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_Bendora_extraction,UMB_ACT_ICON_Bendora_SP/Extracted Volume\Extracted Volume,NA
$mv_Murrumbidgee_to_Googoong,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_Murrumbidgee_to_Googoong,UMB_ACT_ICON_Googong_Transfer_SP/Extracted Volume\Extracted Volume,NA
$mv_QSTP_inflow,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_QSTP_inflow,UMB_Queanbeyan_WWTP_outflow/Downstream Flow\Downstream Flow,NA
$mv_LMWQCC_inflow,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_LMWQCC_inflow,UMB_LMWQCC_outflow/Downstream Flow\Downstream Flow,NA
$mv_Murrumbidgee_to_Stromlo,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_Murrumbidgee_to_Stromlo,UMB_ACT_ICON_Murrumbidgee_to_Stromlo_SP/Extracted Volume\Extracted Volume,NA
$mv_Googong_extraction,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_Googong_extraction,UMB_ACT_ICON_Googong_SP/Extracted Volume\Extracted Volume,NA
$mv_Cotter_extraction,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_Cotter_extraction,UMB_ACT_ICON_Cotter_SP/Extracted Volume\Extracted Volume,NA
$mv_ACT_Ginninderra_WMA,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_ACT_Ginninderra_WMA,UMB_ACT_Ginninderra_SP/Extracted Volume\Extracted Volume,NA
$mv_ACT_Gudgenby_WMA,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_ACT_Gudgenby_WMA,UMB_ACT_Gudgenby_SP/Extracted Volume\Extracted Volume,NA
$mv_ACT_Googong_WMA,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_ACT_Googong_WMA,UMB_ACT_Googong_SP_/Extracted Volume\Extracted Volume,NA
$mv_ACT_Paddys_WMA,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_ACT_Paddys_WMA,UMB_ACT_Paddys_SP/Extracted Volume\Extracted Volume,NA
$mv_ACT_Lower_Murrumbidgee_WMA,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_ACT_Lower_Murrumbidgee_WMA,UMB_ACT_Lower_Murrumbidgee_SP/Extracted Volume\Extracted Volume,NA
$mv_ACT_Lwer_Molonglo_WMA,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_ACT_Lwer_Molonglo_WMA,UMB_ACT_Lower_Molonglo_SP/Extracted Volume\Extracted Volume,NA
$mv_ACT_Central_Molonglo_WMA,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_ACT_Central_Molonglo_WMA,UMB_ACT_Central_Molonglo_SP/Extracted Volume\Extracted Volume,NA
$mv_ACT_Cotter_WMA,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_ACT_Cotter_WMA,UMB_ACT_Cotter_SP/Extracted Volume\Extracted Volume,NA
$mv_ACT_Upper_Murrumbidgee_WMA,$ACT_Net_Take,$ACT_Net_Take,2,Modelled Variable,$ACT_Net_Take.mv_ACT_Upper_Murrumbidgee_WMA,UMB_ACT_Upper_Murrumbidgee_SP/Extracted Volume\Extracted Volume,NA
